机器学习,shuaihhx/horovod,11
ai,P4ul/cu-bridge,11
机器学习,Lee Lup Yuen 李立源/tflite-bl602,11
ai,JJZHK-AI/AIKnowledgeBase,11
机器学习,Gitee 极速下载/rasa-sdk,11
ai,damone/darknet2ncnn,11
机器学习,Halk/tensorflow-models,11
ai,Gitee 极速下载/scikit-learn,11
ai,jink2005/AISEntry,11
ai,peridyno/peridyno,11
ai,ZzqiZQute/ELMDemoQt,11
ai,CV_Lab/Streamlit-YOLOv5-Modle2X,11
ai,Gitee 极速下载/twitter-algorithm,11
机器学习,jlxing/Deep-Learning-for-Tracking-and-Detection,12
机器学习,myhub/MLP,12
机器学习,openvinotoolkit-prc/MMAction2,12
机器学习,OpenDILab开源决策智能平台/DI-hpc,12
机器学习,DiDi-opensource/hetsann,12
机器学习,饺子大魔王/lookie-lookie,12
机器学习,1k树/submarine,12
机器学习,Gitee 极速下载/mldb,12
机器学习,DiDi-opensource/dlflow,12
机器学习,Nine7Eyes/oneflow,12
机器学习,Bytedance Inc./primus,12
机器学习,Gently/deepsort,12
机器学习,RitchieAlpha/nnUNet,12
机器学习,饺子大魔王/tfjs-models,12
机器学习,Gitee 极速下载/BMTrain,12
ai,Gitee 极速下载/Mask_RCNN,12
ai,算能/tpu-mlir,12
ai,Yesterday/Cybertron,12
ai,Saisimon/AIMindMap,12
ai,luge-ai/luge-ai,12
ai,Gitee 极速下载/LangChain,12
ai,PaddlePaddle/PaddleScience,12
ai,极品新/识图AI（接入百度AI平台）,12
ai,Gitee 极速下载/VisualChatGPT,12
ai,黄睿/python语言天气预测,12
ai,董硕/tensorflow_models_nets,12
ai,10km/caffe-static,12
ai,jiaxiaogang/he4o,12
ai,007lz/基于虚拟体和人工势场相结合的多智能体编队控制方法,12
ai,Thoughtworks/EmoPy,12
机器学习,Heimu11/deep-voice-conversion,13
机器学习,"Li John, Gen/dnn_gan",13
机器学习,openvinotoolkit-prc/DeepVariant,13
机器学习,高艳鹏/gpt2-ml,13
ai,Gitee 极速下载/olivia,13
ai,潍坊雷鸣云网络科技有限公司/aichat,13
ai,wannian/nlplab-platform,13
ai,惊奇漫画/Brouhaha,13
ai,hazdzz/STGCN,13
ai,summer2zz/TextCommentSentimentAnalysis,13
ai,jiaxiaogang/HELIX_THEORY,13
ai,ForEleven/osc-robot,13
ai,罗瑶光/德塔论文集,13
ai,xuelanghanbao/AI4XDE,13
ai,大寒/GAN生成动漫头像,13
ai,曹真/homework_3,13
ai,Liereyy/Satori,13
ai,DeepSpark/DeepSpark,13
ai,1991wangliang/springboot-starter-gemini,13
ai,丶谢锐彬/chatgpt-wechat,14
ai,MindSpore Lab/mindrec,14
ai,westwood/蚁群算法,14
ai,Gitee 极速下载/OpenNE,14
ai,Gitee 极速下载/fastllm,14
ai,Gitee 极速下载/CubeAI,14
ai,OpenDILab开源决策智能平台/treevalue,14
ai,monkey_cici/labelImg,14
ai,明故为知/FashionAI,14
ai,monkeywind/AI金融,14
ai,huangyr/Spark_ALS,14
ai,MindSpore Lab/mindformers,14
ai,Gitee 极速下载/Pyro,14
ai,PaddlePaddle/PLSC,14
ai,ZJUNLP/DeepKE,14
ai,Corki/利用openface进行人脸识别签到,15
ai,Gitee 极速下载/recommenders,15
ai,OpenDILab开源决策智能平台/DI-treetensor,15
ai,吴斌/AI4SDGs项目，心理健康对话系统研究,15
ai,Gitee 极速下载/GraphVite,15
ai,river/AI,15
ai,MindSpore Lab/mindpose,15
ai,Gitee 极速下载/Deep-Painterly-Harmonization,15
ai,Gitee 极速下载/Gluon-API,15
ai,Gitee 极速下载/plato-research-dialogue-system,15
ai,A.Star算法组/snowland-algorithm-python,15
ai,Ascend/mxrec,15
ai,Linius/dcnn-nlp,15
ai,OpenMMLab/mmclassification,15
ai,Gitee 极速下载/AudioGPT,15
ai,MindSpore Lab/mindpet,16
ai,Gitee 极速下载/prediction,16
ai,Ascend/playground,16
ai,DevChat/DevChat,16
ai,高艳鹏/GPT2-Chinese,16
ai,maple/darknet_GPS,16
ai,一枚假程序猿/AICore,16
ai,william_lzw/StableDiffusionTorchSharp,16
ai,百晓通客栈/BXTRobot-Client,16
ai,CANN/cann-halo,16
ai,MindSpore/acctransformer,16
ai,DeepSpark/ixGDB,16
ai,maple/SafeHatDetect,16
ai,极客时间/TensorFlow-Course,16
ai,Gitee 极速下载/Clause,16
ai,qieangel2013/phpword2vec,17
ai,Gitee 极速下载/infer-net,17
ai,dreamsfly/DenseCRFSharp,17
ai,Gitee 极速下载/DocsGPT,17
ai,Ascend/ascend-hccl-controller,17
ai,liwanwan/forex-prediction,17
ai,justmd5/tencent-ai,17
ai,cryscan/web-rwkv,17
ai,weitec/MLiA_StudyCode,17
ai,LXMT/Vitis-AI,17
ai,Gitee 极速下载/superagi,17
ai,布客飞龙/fastai-ml-dl-notes-zh,17
ai,twm/ChatGPT,17
